id;name;type;mttf;eff;aquisitionCost
1;Quadro 11;UPS_5kVA;131.75672657083692;0.99999;3529.7947078868574
2;Quadro 12;UPS_5kVA;119.88777266605273;0.99999;3359.9671368972286
3;Quadro 13;UPS_5kVA;109.67267043018248;0.99999;2908.6223880167518
4;Quadro 14;UPS_5kVA;97.8947916270069;0.99999;3069.884579616104
5;Quadro 15;UPS_5kVA;81.29872509036824;0.99999;3647.078292531916
1;UPS_250kVA1;UPS_250kVA;108.66366007809042;0.99999;64175.06280869513
2;UPS_250kVA2;UPS_250kVA;94.89835433565536;0.99999;51027.6630209763
3;UPS_250kVA3;UPS_250kVA;71.02986450100212;0.99999;46949.03392943802
4;UPS_250kVA4;UPS_250kVA;76.31271804381541;0.99999;63705.39777875712
5;UPS_250kVA5;UPS_250kVA;116.01775433326834;0.99999;67716.31356676182
1;SDTransformer1;SDTransformer;136.68318406442236;0.99999;532.3605778658238
2;SDTransformer2;SDTransformer;132.43783148311167;0.99999;441.01672446846294
3;SDTransformer3;SDTransformer;103.73236817277723;0.99999;483.16864472506035
4;SDTransformer4;SDTransformer;58.35635284436699;0.99999;518.5102194925744
5;SDTransformer5;SDTransformer;62.716146873692104;0.99999;657.5553290171101
1;SubPanel1;Subpanel;145.67915654868682;0.99999;154.0568464600277
2;SubPanel2;Subpanel;106.14780550792432;0.99999;223.19424092983934
3;SubPanel3;Subpanel;75.57734981925051;0.99999;153.49843112020295
4;SubPanel4;Subpanel;148.1524206805246;0.99999;161.403419723273
5;SubPanel5;Subpanel;134.08982004266926;0.99999;176.72118199020426
1;PowerStrip1;PowerStrip;135.7137721551495;0.99999;235.02397607404976
2;PowerStrip2;PowerStrip;138.81455812937736;0.99999;180.6183109176923
3;PowerStrip3;PowerStrip;103.19391326595624;0.99999;154.60947527726898
4;PowerStrip4;PowerStrip;112.68225139828945;0.99999;196.24195986589746
5;PowerStrip5;PowerStrip;53.59085085055369;0.99999;224.19365071429468
